season,brand_name,num_vax,num_unique_person,num_outcomes_risk,pd_risk,rate_risk,lower_ci,upper_ci,rate_se
22_23,janssen,8,8,0,232,0.0,0.0,1590.0342,0.0
22_23,moderna,39,39,1,1068,93.633,2.3706,521.6895,93.633
22_23,novavax,32,32,1,866,115.4734,2.9235,643.3768,115.4734
22_23,pfizer,31,31,1,885,112.9944,2.8608,629.5642,112.9944
23_24,moderna,69,69,3,1859,161.3771,33.2798,471.6123,93.1711
23_24,novavax,57,57,2,1558,128.3697,15.5462,463.7155,90.7711
23_24,pfizer,57,57,5,1543,324.0441,105.2162,756.2108,144.9169
24_25,moderna,36,36,4,1043,383.5091,104.4933,981.9356,191.7546
24_25,novavax,32,32,3,900,333.3333,68.7413,974.1415,192.4501
24_25,pfizer,26,26,2,726,275.4821,33.3622,995.136,194.7953
