zip3,state_fips,state_name,state_abbv,omb_region_label,census_region_label
415,36,New York,NY,Region II,Northeast:Middle Atlantic
724,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
946,39,Ohio,OH,Region V,Midwest:East North Central
743,12,Florida,FL,Region IV,South:South Atlantic
687,39,Ohio,OH,Region V,Midwest:East North Central
122,13,Georgia,GA,Region IV,South:South Atlantic
221,01,Alabama,AL,Region IV,South:East South Central
485,13,Georgia,GA,Region IV,South:South Atlantic
390,36,New York,NY,Region II,Northeast:Middle Atlantic
630,39,Ohio,OH,Region V,Midwest:East North Central
418,53,Washington,WA,Region X,West:Pacific
501,48,Texas,TX,Region VI,South:West South Central
970,37,North Carolina,NC,Region IV,South:South Atlantic
862,17,Illinois,IL,Region V,Midwest:East North Central
583,12,Florida,FL,Region IV,South:South Atlantic
720,22,Louisiana,LA,Region VI,South:West South Central
825,13,Georgia,GA,Region IV,South:South Atlantic
795,26,Michigan,MI,Region V,Midwest:East North Central
550,22,Louisiana,LA,Region VI,South:West South Central
657,12,Florida,FL,Region IV,South:South Atlantic
821,48,Texas,TX,Region VI,South:West South Central
533,51,Virginia,VA,Region III,South:South Atlantic
561,06,California,CA,Region IX,West:Pacific
694,12,Florida,FL,Region IV,South:South Atlantic
455,13,Georgia,GA,Region IV,South:South Atlantic
429,01,Alabama,AL,Region IV,South:East South Central
402,53,Washington,WA,Region X,West:Pacific
258,39,Ohio,OH,Region V,Midwest:East North Central
352,36,New York,NY,Region II,Northeast:Middle Atlantic
513,39,Ohio,OH,Region V,Midwest:East North Central
256,13,Georgia,GA,Region IV,South:South Atlantic
802,51,Virginia,VA,Region III,South:South Atlantic
342,37,North Carolina,NC,Region IV,South:South Atlantic
351,17,Illinois,IL,Region V,Midwest:East North Central
383,36,New York,NY,Region II,Northeast:Middle Atlantic
734,01,Alabama,AL,Region IV,South:East South Central
462,12,Florida,FL,Region IV,South:South Atlantic
872,26,Michigan,MI,Region V,Midwest:East North Central
787,13,Georgia,GA,Region IV,South:South Atlantic
882,13,Georgia,GA,Region IV,South:South Atlantic
470,26,Michigan,MI,Region V,Midwest:East North Central
231,36,New York,NY,Region II,Northeast:Middle Atlantic
354,13,Georgia,GA,Region IV,South:South Atlantic
488,22,Louisiana,LA,Region VI,South:West South Central
398,13,Georgia,GA,Region IV,South:South Atlantic
573,06,California,CA,Region IX,West:Pacific
335,48,Texas,TX,Region VI,South:West South Central
496,12,Florida,FL,Region IV,South:South Atlantic
118,06,California,CA,Region IX,West:Pacific
800,01,Alabama,AL,Region IV,South:East South Central
265,53,Washington,WA,Region X,West:Pacific
459,48,Texas,TX,Region VI,South:West South Central
159,04,Arizona,AZ,Region IX,West:Mountain
171,22,Louisiana,LA,Region VI,South:West South Central
482,12,Florida,FL,Region IV,South:South Atlantic
936,04,Arizona,AZ,Region IX,West:Mountain
234,04,Arizona,AZ,Region IX,West:Mountain
116,53,Washington,WA,Region X,West:Pacific
852,12,Florida,FL,Region IV,South:South Atlantic
472,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
715,04,Arizona,AZ,Region IX,West:Mountain
727,06,California,CA,Region IX,West:Pacific
677,36,New York,NY,Region II,Northeast:Middle Atlantic
546,01,Alabama,AL,Region IV,South:East South Central
341,12,Florida,FL,Region IV,South:South Atlantic
167,12,Florida,FL,Region IV,South:South Atlantic
430,22,Louisiana,LA,Region VI,South:West South Central
726,22,Louisiana,LA,Region VI,South:West South Central
249,17,Illinois,IL,Region V,Midwest:East North Central
185,39,Ohio,OH,Region V,Midwest:East North Central
625,01,Alabama,AL,Region IV,South:East South Central
744,06,California,CA,Region IX,West:Pacific
197,13,Georgia,GA,Region IV,South:South Atlantic
856,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
925,39,Ohio,OH,Region V,Midwest:East North Central
999,39,Ohio,OH,Region V,Midwest:East North Central
170,17,Illinois,IL,Region V,Midwest:East North Central
298,26,Michigan,MI,Region V,Midwest:East North Central
295,06,California,CA,Region IX,West:Pacific
837,12,Florida,FL,Region IV,South:South Atlantic
498,01,Alabama,AL,Region IV,South:East South Central
211,22,Louisiana,LA,Region VI,South:West South Central
425,22,Louisiana,LA,Region VI,South:West South Central
255,36,New York,NY,Region II,Northeast:Middle Atlantic
831,17,Illinois,IL,Region V,Midwest:East North Central
645,01,Alabama,AL,Region IV,South:East South Central
894,12,Florida,FL,Region IV,South:South Atlantic
881,22,Louisiana,LA,Region VI,South:West South Central
910,53,Washington,WA,Region X,West:Pacific
395,39,Ohio,OH,Region V,Midwest:East North Central
784,17,Illinois,IL,Region V,Midwest:East North Central
598,51,Virginia,VA,Region III,South:South Atlantic
690,12,Florida,FL,Region IV,South:South Atlantic
680,17,Illinois,IL,Region V,Midwest:East North Central
489,39,Ohio,OH,Region V,Midwest:East North Central
871,47,Tennessee,TN,Region IV,South:East South Central
662,48,Texas,TX,Region VI,South:West South Central
500,22,Louisiana,LA,Region VI,South:West South Central
845,26,Michigan,MI,Region V,Midwest:East North Central
914,48,Texas,TX,Region VI,South:West South Central
178,12,Florida,FL,Region IV,South:South Atlantic
899,37,North Carolina,NC,Region IV,South:South Atlantic
230,12,Florida,FL,Region IV,South:South Atlantic
372,51,Virginia,VA,Region III,South:South Atlantic
919,12,Florida,FL,Region IV,South:South Atlantic
376,13,Georgia,GA,Region IV,South:South Atlantic
446,53,Washington,WA,Region X,West:Pacific
965,39,Ohio,OH,Region V,Midwest:East North Central
206,36,New York,NY,Region II,Northeast:Middle Atlantic
305,04,Arizona,AZ,Region IX,West:Mountain
414,06,California,CA,Region IX,West:Pacific
327,37,North Carolina,NC,Region IV,South:South Atlantic
823,53,Washington,WA,Region X,West:Pacific
198,12,Florida,FL,Region IV,South:South Atlantic
103,47,Tennessee,TN,Region IV,South:East South Central
635,36,New York,NY,Region II,Northeast:Middle Atlantic
878,51,Virginia,VA,Region III,South:South Atlantic
481,36,New York,NY,Region II,Northeast:Middle Atlantic
142,51,Virginia,VA,Region III,South:South Atlantic
403,26,Michigan,MI,Region V,Midwest:East North Central
477,48,Texas,TX,Region VI,South:West South Central
695,36,New York,NY,Region II,Northeast:Middle Atlantic
193,48,Texas,TX,Region VI,South:West South Central
405,22,Louisiana,LA,Region VI,South:West South Central
873,06,California,CA,Region IX,West:Pacific
966,53,Washington,WA,Region X,West:Pacific
359,39,Ohio,OH,Region V,Midwest:East North Central
250,17,Illinois,IL,Region V,Midwest:East North Central
813,01,Alabama,AL,Region IV,South:East South Central
394,53,Washington,WA,Region X,West:Pacific
948,12,Florida,FL,Region IV,South:South Atlantic
448,47,Tennessee,TN,Region IV,South:East South Central
286,51,Virginia,VA,Region III,South:South Atlantic
317,06,California,CA,Region IX,West:Pacific
503,12,Florida,FL,Region IV,South:South Atlantic
879,13,Georgia,GA,Region IV,South:South Atlantic
846,47,Tennessee,TN,Region IV,South:East South Central
478,47,Tennessee,TN,Region IV,South:East South Central
675,12,Florida,FL,Region IV,South:South Atlantic
263,17,Illinois,IL,Region V,Midwest:East North Central
714,06,California,CA,Region IX,West:Pacific
627,39,Ohio,OH,Region V,Midwest:East North Central
456,22,Louisiana,LA,Region VI,South:West South Central
755,37,North Carolina,NC,Region IV,South:South Atlantic
807,22,Louisiana,LA,Region VI,South:West South Central
747,47,Tennessee,TN,Region IV,South:East South Central
673,12,Florida,FL,Region IV,South:South Atlantic
205,26,Michigan,MI,Region V,Midwest:East North Central
883,48,Texas,TX,Region VI,South:West South Central
152,53,Washington,WA,Region X,West:Pacific
666,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
522,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
891,47,Tennessee,TN,Region IV,South:East South Central
428,39,Ohio,OH,Region V,Midwest:East North Central
133,53,Washington,WA,Region X,West:Pacific
219,47,Tennessee,TN,Region IV,South:East South Central
400,53,Washington,WA,Region X,West:Pacific
983,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
853,13,Georgia,GA,Region IV,South:South Atlantic
869,51,Virginia,VA,Region III,South:South Atlantic
127,12,Florida,FL,Region IV,South:South Atlantic
981,12,Florida,FL,Region IV,South:South Atlantic
453,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
855,53,Washington,WA,Region X,West:Pacific
329,53,Washington,WA,Region X,West:Pacific
716,26,Michigan,MI,Region V,Midwest:East North Central
780,13,Georgia,GA,Region IV,South:South Atlantic
953,01,Alabama,AL,Region IV,South:East South Central
679,12,Florida,FL,Region IV,South:South Atlantic
464,04,Arizona,AZ,Region IX,West:Mountain
337,06,California,CA,Region IX,West:Pacific
867,53,Washington,WA,Region X,West:Pacific
671,01,Alabama,AL,Region IV,South:East South Central
932,17,Illinois,IL,Region V,Midwest:East North Central
556,47,Tennessee,TN,Region IV,South:East South Central
536,37,North Carolina,NC,Region IV,South:South Atlantic
520,13,Georgia,GA,Region IV,South:South Atlantic
978,36,New York,NY,Region II,Northeast:Middle Atlantic
237,12,Florida,FL,Region IV,South:South Atlantic
310,06,California,CA,Region IX,West:Pacific
532,53,Washington,WA,Region X,West:Pacific
639,51,Virginia,VA,Region III,South:South Atlantic
749,22,Louisiana,LA,Region VI,South:West South Central
968,36,New York,NY,Region II,Northeast:Middle Atlantic
624,53,Washington,WA,Region X,West:Pacific
148,53,Washington,WA,Region X,West:Pacific
696,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
215,37,North Carolina,NC,Region IV,South:South Atlantic
512,01,Alabama,AL,Region IV,South:East South Central
523,04,Arizona,AZ,Region IX,West:Mountain
251,48,Texas,TX,Region VI,South:West South Central
629,12,Florida,FL,Region IV,South:South Atlantic
774,47,Tennessee,TN,Region IV,South:East South Central
101,51,Virginia,VA,Region III,South:South Atlantic
962,37,North Carolina,NC,Region IV,South:South Atlantic
811,47,Tennessee,TN,Region IV,South:East South Central
705,51,Virginia,VA,Region III,South:South Atlantic
641,51,Virginia,VA,Region III,South:South Atlantic
345,04,Arizona,AZ,Region IX,West:Mountain
779,04,Arizona,AZ,Region IX,West:Mountain
574,17,Illinois,IL,Region V,Midwest:East North Central
916,36,New York,NY,Region II,Northeast:Middle Atlantic
753,17,Illinois,IL,Region V,Midwest:East North Central
366,53,Washington,WA,Region X,West:Pacific
450,48,Texas,TX,Region VI,South:West South Central
819,13,Georgia,GA,Region IV,South:South Atlantic
271,36,New York,NY,Region II,Northeast:Middle Atlantic
674,47,Tennessee,TN,Region IV,South:East South Central
735,53,Washington,WA,Region X,West:Pacific
259,12,Florida,FL,Region IV,South:South Atlantic
137,53,Washington,WA,Region X,West:Pacific
898,53,Washington,WA,Region X,West:Pacific
413,53,Washington,WA,Region X,West:Pacific
307,17,Illinois,IL,Region V,Midwest:East North Central
507,04,Arizona,AZ,Region IX,West:Mountain
822,47,Tennessee,TN,Region IV,South:East South Central
117,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
634,53,Washington,WA,Region X,West:Pacific
222,47,Tennessee,TN,Region IV,South:East South Central
248,39,Ohio,OH,Region V,Midwest:East North Central
704,36,New York,NY,Region II,Northeast:Middle Atlantic
253,37,North Carolina,NC,Region IV,South:South Atlantic
301,04,Arizona,AZ,Region IX,West:Mountain
766,01,Alabama,AL,Region IV,South:East South Central
458,04,Arizona,AZ,Region IX,West:Mountain
644,13,Georgia,GA,Region IV,South:South Atlantic
732,39,Ohio,OH,Region V,Midwest:East North Central
718,39,Ohio,OH,Region V,Midwest:East North Central
419,01,Alabama,AL,Region IV,South:East South Central
698,37,North Carolina,NC,Region IV,South:South Atlantic
289,47,Tennessee,TN,Region IV,South:East South Central
602,12,Florida,FL,Region IV,South:South Atlantic
349,48,Texas,TX,Region VI,South:West South Central
885,39,Ohio,OH,Region V,Midwest:East North Central
278,39,Ohio,OH,Region V,Midwest:East North Central
191,48,Texas,TX,Region VI,South:West South Central
643,39,Ohio,OH,Region V,Midwest:East North Central
545,04,Arizona,AZ,Region IX,West:Mountain
765,26,Michigan,MI,Region V,Midwest:East North Central
491,26,Michigan,MI,Region V,Midwest:East North Central
860,26,Michigan,MI,Region V,Midwest:East North Central
741,36,New York,NY,Region II,Northeast:Middle Atlantic
294,06,California,CA,Region IX,West:Pacific
685,06,California,CA,Region IX,West:Pacific
805,36,New York,NY,Region II,Northeast:Middle Atlantic
552,12,Florida,FL,Region IV,South:South Atlantic
535,37,North Carolina,NC,Region IV,South:South Atlantic
812,17,Illinois,IL,Region V,Midwest:East North Central
594,01,Alabama,AL,Region IV,South:East South Central
521,37,North Carolina,NC,Region IV,South:South Atlantic
347,04,Arizona,AZ,Region IX,West:Mountain
849,51,Virginia,VA,Region III,South:South Atlantic
601,48,Texas,TX,Region VI,South:West South Central
406,48,Texas,TX,Region VI,South:West South Central
638,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
157,01,Alabama,AL,Region IV,South:East South Central
517,53,Washington,WA,Region X,West:Pacific
719,01,Alabama,AL,Region IV,South:East South Central
599,37,North Carolina,NC,Region IV,South:South Atlantic
606,47,Tennessee,TN,Region IV,South:East South Central
969,47,Tennessee,TN,Region IV,South:East South Central
954,37,North Carolina,NC,Region IV,South:South Atlantic
299,12,Florida,FL,Region IV,South:South Atlantic
758,53,Washington,WA,Region X,West:Pacific
789,12,Florida,FL,Region IV,South:South Atlantic
120,22,Louisiana,LA,Region VI,South:West South Central
288,37,North Carolina,NC,Region IV,South:South Atlantic
637,53,Washington,WA,Region X,West:Pacific
958,37,North Carolina,NC,Region IV,South:South Atlantic
302,17,Illinois,IL,Region V,Midwest:East North Central
447,36,New York,NY,Region II,Northeast:Middle Atlantic
543,39,Ohio,OH,Region V,Midwest:East North Central
620,48,Texas,TX,Region VI,South:West South Central
951,22,Louisiana,LA,Region VI,South:West South Central
530,53,Washington,WA,Region X,West:Pacific
799,06,California,CA,Region IX,West:Pacific
515,22,Louisiana,LA,Region VI,South:West South Central
921,36,New York,NY,Region II,Northeast:Middle Atlantic
739,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
809,04,Arizona,AZ,Region IX,West:Mountain
147,36,New York,NY,Region II,Northeast:Middle Atlantic
909,47,Tennessee,TN,Region IV,South:East South Central
189,26,Michigan,MI,Region V,Midwest:East North Central
407,06,California,CA,Region IX,West:Pacific
927,12,Florida,FL,Region IV,South:South Atlantic
997,37,North Carolina,NC,Region IV,South:South Atlantic
476,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
218,06,California,CA,Region IX,West:Pacific
668,53,Washington,WA,Region X,West:Pacific
229,48,Texas,TX,Region VI,South:West South Central
930,22,Louisiana,LA,Region VI,South:West South Central
681,39,Ohio,OH,Region V,Midwest:East North Central
318,06,California,CA,Region IX,West:Pacific
492,36,New York,NY,Region II,Northeast:Middle Atlantic
160,36,New York,NY,Region II,Northeast:Middle Atlantic
525,48,Texas,TX,Region VI,South:West South Central
173,37,North Carolina,NC,Region IV,South:South Atlantic
484,22,Louisiana,LA,Region VI,South:West South Central
569,48,Texas,TX,Region VI,South:West South Central
591,47,Tennessee,TN,Region IV,South:East South Central
664,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
290,51,Virginia,VA,Region III,South:South Atlantic
420,17,Illinois,IL,Region V,Midwest:East North Central
796,01,Alabama,AL,Region IV,South:East South Central
640,17,Illinois,IL,Region V,Midwest:East North Central
841,53,Washington,WA,Region X,West:Pacific
993,22,Louisiana,LA,Region VI,South:West South Central
336,51,Virginia,VA,Region III,South:South Atlantic
322,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
203,48,Texas,TX,Region VI,South:West South Central
912,04,Arizona,AZ,Region IX,West:Mountain
995,22,Louisiana,LA,Region VI,South:West South Central
752,39,Ohio,OH,Region V,Midwest:East North Central
864,51,Virginia,VA,Region III,South:South Atlantic
287,13,Georgia,GA,Region IV,South:South Atlantic
404,26,Michigan,MI,Region V,Midwest:East North Central
432,13,Georgia,GA,Region IV,South:South Atlantic
702,36,New York,NY,Region II,Northeast:Middle Atlantic
434,48,Texas,TX,Region VI,South:West South Central
974,48,Texas,TX,Region VI,South:West South Central
112,37,North Carolina,NC,Region IV,South:South Atlantic
709,06,California,CA,Region IX,West:Pacific
988,22,Louisiana,LA,Region VI,South:West South Central
816,48,Texas,TX,Region VI,South:West South Central
196,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
678,36,New York,NY,Region II,Northeast:Middle Atlantic
870,17,Illinois,IL,Region V,Midwest:East North Central
937,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
656,26,Michigan,MI,Region V,Midwest:East North Central
427,47,Tennessee,TN,Region IV,South:East South Central
361,26,Michigan,MI,Region V,Midwest:East North Central
604,12,Florida,FL,Region IV,South:South Atlantic
733,13,Georgia,GA,Region IV,South:South Atlantic
239,22,Louisiana,LA,Region VI,South:West South Central
410,01,Alabama,AL,Region IV,South:East South Central
570,26,Michigan,MI,Region V,Midwest:East North Central
487,36,New York,NY,Region II,Northeast:Middle Atlantic
486,51,Virginia,VA,Region III,South:South Atlantic
128,53,Washington,WA,Region X,West:Pacific
618,48,Texas,TX,Region VI,South:West South Central
110,48,Texas,TX,Region VI,South:West South Central
998,04,Arizona,AZ,Region IX,West:Mountain
164,22,Louisiana,LA,Region VI,South:West South Central
751,17,Illinois,IL,Region V,Midwest:East North Central
475,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
401,13,Georgia,GA,Region IV,South:South Atlantic
895,01,Alabama,AL,Region IV,South:East South Central
387,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
934,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
913,17,Illinois,IL,Region V,Midwest:East North Central
964,04,Arizona,AZ,Region IX,West:Mountain
992,53,Washington,WA,Region X,West:Pacific
279,01,Alabama,AL,Region IV,South:East South Central
923,04,Arizona,AZ,Region IX,West:Mountain
227,06,California,CA,Region IX,West:Pacific
922,37,North Carolina,NC,Region IV,South:South Atlantic
947,36,New York,NY,Region II,Northeast:Middle Atlantic
151,06,California,CA,Region IX,West:Pacific
504,48,Texas,TX,Region VI,South:West South Central
143,39,Ohio,OH,Region V,Midwest:East North Central
859,06,California,CA,Region IX,West:Pacific
578,47,Tennessee,TN,Region IV,South:East South Central
272,13,Georgia,GA,Region IV,South:South Atlantic
528,26,Michigan,MI,Region V,Midwest:East North Central
330,12,Florida,FL,Region IV,South:South Atlantic
363,12,Florida,FL,Region IV,South:South Atlantic
273,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
579,53,Washington,WA,Region X,West:Pacific
757,06,California,CA,Region IX,West:Pacific
457,26,Michigan,MI,Region V,Midwest:East North Central
315,12,Florida,FL,Region IV,South:South Atlantic
436,37,North Carolina,NC,Region IV,South:South Atlantic
731,37,North Carolina,NC,Region IV,South:South Atlantic
713,47,Tennessee,TN,Region IV,South:East South Central
284,26,Michigan,MI,Region V,Midwest:East North Central
986,48,Texas,TX,Region VI,South:West South Central
830,22,Louisiana,LA,Region VI,South:West South Central
617,13,Georgia,GA,Region IV,South:South Atlantic
803,12,Florida,FL,Region IV,South:South Atlantic
262,17,Illinois,IL,Region V,Midwest:East North Central
443,22,Louisiana,LA,Region VI,South:West South Central
866,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
586,51,Virginia,VA,Region III,South:South Atlantic
242,48,Texas,TX,Region VI,South:West South Central
984,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
717,04,Arizona,AZ,Region IX,West:Mountain
132,53,Washington,WA,Region X,West:Pacific
835,39,Ohio,OH,Region V,Midwest:East North Central
529,12,Florida,FL,Region IV,South:South Atlantic
182,37,North Carolina,NC,Region IV,South:South Atlantic
708,48,Texas,TX,Region VI,South:West South Central
950,53,Washington,WA,Region X,West:Pacific
252,26,Michigan,MI,Region V,Midwest:East North Central
283,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
745,13,Georgia,GA,Region IV,South:South Atlantic
804,39,Ohio,OH,Region V,Midwest:East North Central
277,53,Washington,WA,Region X,West:Pacific
609,39,Ohio,OH,Region V,Midwest:East North Central
808,36,New York,NY,Region II,Northeast:Middle Atlantic
649,01,Alabama,AL,Region IV,South:East South Central
906,04,Arizona,AZ,Region IX,West:Mountain
466,04,Arizona,AZ,Region IX,West:Mountain
585,26,Michigan,MI,Region V,Midwest:East North Central
384,34,New Jersey,NJ,Region II,Northeast:Middle Atlantic
682,47,Tennessee,TN,Region IV,South:East South Central
409,36,New York,NY,Region II,Northeast:Middle Atlantic
575,39,Ohio,OH,Region V,Midwest:East North Central
581,12,Florida,FL,Region IV,South:South Atlantic
945,26,Michigan,MI,Region V,Midwest:East North Central
